Name,Age,Nationality,Fifa Score,Club,Value,Salary
B. Valdez,24,Paraguay,72,Club América,€3.5M,€27K
Nilsito Vilela,29,Brazil,72,Cruzeiro,€3.1M,€23K
A. Khubulov,26,Russia,72,FC Anzhi Makhachkala,€3.7M,€16K
D. Brivio,29,Italy,72,Virtus Entella,€2.4M,€20K
A. Morales,27,United States,72,FC Ingolstadt 04,€3.5M,€17K
S. Longo,25,Italy,72,CD Tenerife,€4.1M,€39K
C. Pinares,26,Chile,72,,€0,€0.00
L. Klostermann,21,Germany,72,RB Leipzig,€4.9M,€25K
B. Dunavante,29,Chile,72,Audax Italiano,€3M,€5K
Torrejón,31,Spain,72,1. FC Union Berlin,€2.1M,€20K
N. Leiva,20,Spain,72,Real Betis Balompié,€4.8M,€16K
Zhang Xizhe,26,China PR,72,,€0,€0.00
João Bruiñeira,29,Brazil,72,São Paulo Futebol Clube,€2.1M,€16K
Manuel da Costa,31,Morocco,72,İstanbul Başakşehir FK,€2.1M,€16K
Crislan,25,Brazil,72,Vegalta Sendai,€4.1M,€9K
G. Fofana,24,France,72,Amiens SC Football,€3.6M,€11K
M. Goicoechea,29,Uruguay,72,Toulouse FC,€2.1M,€16K
J. Onomah,20,England,72,Aston Villa,€7M,€39K
R. Jenssen,29,Norway,72,FC Groningen,€3M,€10K
A. Pérez,23,Colombia,72,Querétaro,€3.7M,€7K
Chong Te Se,33,Korea DPR,72,Shimizu S-Pulse,€2M,€4K
A. Nukan,23,Turkey,72,Beşiktaş JK,€3.7M,€28K
M. Odubajo,23,England,72,Hull City,€3.7M,€7K
E. Arango,23,Colombia,72,Alianza Petrolera,€4.3M,€1K
R. Casirón,33,Chile,72,Club de Deportes Temuco,€1.9M,€3K
N. Bertolo,31,Argentina,72,Banfield,€2.7M,€15K
D. Aleksić,26,Serbia,72,FC St. Gallen,€3.8M,€12K
J. Murillo,21,Venezuela,72,Kasimpaşa SK,€4.8M,€8K
Y. Bammou,25,Morocco,72,FC Nantes,€4M,€17K
F. Lecarnado,33,Chile,72,CD Palestino,€1.9M,€4K
D. Kourmpelis,23,Greece,72,Panathinaikos FC,€3.5M,€1K
C. McManaman,26,England,72,Sunderland,€3.7M,€8K
Moreira,35,Portugal,72,Estoril Praia,€725K,€4K
Carleto Costinha,25,Brazil,72,Clube Atlético Paranaense,€3.4M,€11K
O. Čelůstka,28,Czech Republic,72,Antalyaspor,€2.5M,€13K
Rodolfo,34,Brazil,72,Terek Grozny,€950K,€21K
P. Álvarez,33,Argentina,72,Club Atlético Huracán,€1.2M,€9K
G. Boyd,31,Scotland,72,Sheffield Wednesday,€2.7M,€36K
M. Kosanović,27,Serbia,72,Göztepe,€3M,€11K
S. Naismith,30,Scotland,72,Norwich City,€2.9M,€25K
Mauro Riboas,25,Brazil,72,Sociedade Esportiva Palmeiras,€3.4M,€22K
B. Balaj,26,Albania,72,Terek Grozny,€3.9M,€25K
De Tomás,22,Spain,72,Rayo Vallecano,€4.3M,€75K
M. Rits,23,Belgium,72,KV Mechelen,€4.1M,€10K
B. Cristante,22,Italy,72,Atalanta,€4.9M,€8K
M. Kadlec,32,Czech Republic,72,Sparta Praha,€1.8M,€1K
Edgar Costa,30,Portugal,72,CS Marítimo,€2.9M,€8K
D. Zakaria,20,Switzerland,72,Borussia Mönchengladbach,€7M,€18K
Y. Gordillo,25,Colombia,72,Independiente Santa Fe,€3.6M,€3K
Rafael Defendi,33,Brazil,72,FC Paços de Ferreira,€1.6M,€6K
W. Brama,30,Netherlands,72,Central Coast Mariners,€2.3M,€3K
P. Mogilevets,24,Russia,72,FC Rostov,€4.2M,€20K
A. Mina,26,Ecuador,72,Evkur Yeni Malatyaspor,€3.1M,€10K
Alex,25,Portugal,72,Salernitana,€3.7M,€5K
T. Didillon,21,France,72,FC Metz,€3.9M,€6K
Santi da Bruma,33,Brazil,72,Sport Club do Recife,€2M,€14K
J. Sánchez,27,Mexico,72,Guadalajara,€2.6M,€32K
D. Selke,22,Germany,72,Hertha BSC Berlin,€5M,€18K
M. Maignan,21,France,72,LOSC Lille,€3.5M,€14K
B. Pedretti,36,France,72,AS Nancy Lorraine,€425K,€4K
J. Henry,28,England,72,Oxford United,€3.1M,€9K
Thiago Alminxa,25,Brazil,72,Sport Club do Recife,€3.4M,€13K
Guedes,30,Portugal,72,Rio Ave FC,€3M,€8K
B. Marshall,25,England,72,Wolverhampton Wanderers,€3.9M,€32K
M. Møller Dæhli,22,Norway,72,FC St. Pauli,€4.2M,€15K
D. Rodríguez,28,Argentina,72,Rosario Central,€2.6M,€10K
Douglas,26,Brazil,72,SL Benfica,€2.6M,€71K
Z. Bakkali,21,Belgium,72,RC Deportivo de La Coruña,€4.4M,€16K
M. Malyshev,24,Ukraine,72,Shakhtar Donetsk,€3.6M,€1K
M. Gajić,21,Serbia,72,Girondins de Bordeaux,€3.6M,€19K
D. Álvarez,35,Colombia,72,La Equidad,€1.4M,€2K
V. Regini,26,Italy,72,Sampdoria,€3M,€21K
Jordi Masip,28,Spain,72,Real Valladolid,€2.6M,€6K
C. Ramírez,22,Ecuador,72,FC Krasnodar,€3.9M,€21K
L. N'Guemo,31,Cameroon,72,Kayserispor,€2.1M,€10K
Juan Cala,27,Spain,72,Getafe CF,€3M,€15K
Cristian Lodeira,25,Brazil,72,Cruzeiro,€3.4M,€21K
M. Ardemagni,30,Italy,72,Avellino,€3M,€4K
C. Gamboa,27,Costa Rica,72,Celtic,€2.6M,€32K
C. Nyman,24,Sweden,72,Eintracht Braunschweig,€4.1M,€17K
A. Mariappa,30,Jamaica,72,Watford,€2.2M,€32K
M. El Kabir,28,Morocco,72,Antalyaspor,€3.2M,€15K
A. Traoré,27,Ivory Coast,72,Göztepe,€2.6M,€12K
M. Ciani,33,France,72,LA Galaxy,€1.3M,€6K
O. Lewicki,24,Sweden,72,Malmö FF,€3.3M,€4K
J. Darenova,29,Chile,72,CD Universidad de Concepción,€3.1M,€5K
Y. Ait Bennasser,20,Morocco,72,SM Caen,€5M,€17K
Walter Silvieiro,25,Brazil,72,Santos Futebol Clube,€3.4M,€14K
L. Vibe,30,Denmark,72,Brentford,€3M,€32K
Z. Tomašević,27,Montenegro,72,KV Oostende,€2.6M,€11K
O. Nguette,22,Senegal,72,FC Metz,€4.3M,€10K
D. Álvarez,22,Mexico,72,Necaxa,€4.2M,€9K
N. Gyömbér,24,Slovakia,72,Bari,€3.3M,€29K
B. Sako,29,Mali,72,Crystal Palace,€3M,€36K
Cauê,28,Brazil,72,Omiya Ardija,€2.5M,€4K
D. Dąbrowski,24,Poland,72,Cracovia,€3.4M,€5K
M. Ozdoev,24,Russia,72,Rubin Kazan,€3.7M,€23K
Iván López,23,Spain,72,Levante UD,€3.7M,€13K
Pablo Maffeo,19,Spain,72,Girona CF,€5M,€31K
J. Barrera,21,Colombia,72,CPD Junior Barranquilla,€5M,€3K
M. Rocental,29,Chile,72,Colo-Colo,€3.1M,€7K
Eber Bessa,25,Brazil,72,CS Marítimo,€3.8M,€7K
Josué da Feira,25,Brazil,72,Santos Futebol Clube,€3.4M,€14K
E. Pisano,30,Italy,72,Bristol City,€2.2M,€27K
W. Foderingham,26,England,72,Rangers,€2.9M,€26K
B. Petković,22,Croatia,72,Bologna,€4.6M,€31K
D. Marney,33,England,72,Burnley,€1.8M,€35K
Marco Matias,28,Portugal,72,Sheffield Wednesday,€3.1M,€41K
J. Hušbauer,27,Czech Republic,72,,€0,€0.00
S. Fletcher,30,Scotland,72,Sheffield Wednesday,€3M,€40K
M. Diallo,31,Senegal,72,En Avant de Guingamp,€2.1M,€15K
M. Maloča,28,Croatia,72,SpVgg Greuther Fürth,€2.5M,€7K
F. Barridos,29,Chile,72,CD Antofagasta,€2.1M,€3K
M. Canini,32,Italy,72,Cremonese,€1.8M,€17K
T. Derijck,30,Belgium,72,SV Zulte-Waregem,€2.3M,€11K
M. Cassani,33,Italy,72,Bari,€1.2M,€4K
Y. Endo,37,Japan,72,Gamba Osaka,€425K,€6K
P. Toranzo,35,Argentina,72,Club Atlético Huracán,€1.4M,€8K
C. Gruezo,22,Ecuador,72,FC Dallas,€3.7M,€5K
M. Gaćinović,22,Serbia,72,Eintracht Frankfurt,€4.3M,€17K
E. Kaçe,23,Albania,72,PAOK Thessaloniki,€3.9M,€1K
H. Manzala,23,DR Congo,72,Amiens SC Football,€4.6M,€12K
K. Lasagna,24,Italy,72,Udinese,€4.1M,€18K
S. Holmén,25,Sweden,72,Dinamo Moscow,€3.3M,€20K
J. Kana-Biyik,27,Cameroon,72,Kayserispor,€2.6M,€10K
D. Contento,27,Germany,72,Girondins de Bordeaux,€2.9M,€25K
R. Kruse,28,Australia,72,VfL Bochum,€3.1M,€14K
J. Kappelhof,26,Netherlands,72,Chicago Fire Soccer Club,€3.1M,€6K
Paco Montañés,30,Spain,72,CD Tenerife,€2.9M,€7K
J. Bottinelli,32,Argentina,72,Unión de Santa Fe,€1.8M,€9K
S. Al Dawsari,25,Saudi Arabia,72,Al Hilal,€3.4M,€25K
Vagner,31,Brazil,72,Boavista FC,€1.9M,€7K
D. Dumić,25,Bosnia Herzegovina,72,FC Utrecht,€3.3M,€8K
Maurides,23,Brazil,72,CF Os Belenenses,€4.3M,€6K
E. Cascione,33,Italy,72,Cesena,€1.8M,€3K
C. Martin,28,Scotland,72,Derby County,€3.2M,€41K
S. Ben Youssef,28,Tunisia,72,Kasimpaşa SK,€2.8M,€11K
H. Fredes,30,Argentina,72,Defensa y Justicia,€2.9M,€10K
A. Diakhaby,20,France,72,AS Monaco,€5M,€19K
C. Biraghi,24,Italy,72,Fiorentina,€3.5M,€3K
Hernán,26,Spain,72,UD Las Palmas,€3.6M,€14K
A. Biyogo Poko,24,Gabon,72,Kardemir Karabükspor,€4M,€10K
David Navarro,37,Spain,72,AD Alcorcón,€425K,€6K
M. Thiam,24,Senegal,72,Juventus,€4.1M,€54K
Dória,22,Brazil,72,Olympique de Marseille,€3.6M,€15K
Aketxe,23,Spain,72,Athletic Club de Bilbao,€4.3M,€14K
J. Augustin,20,France,72,RB Leipzig,€4.7M,€32K
D. Moor,33,United States,72,Toronto FC,€1.3M,€6K
Pedro Rebocho,22,Portugal,72,En Avant de Guingamp,€3.9M,€13K
José Mari,29,Spain,72,Cádiz C.F.,€2.4M,€7K
J. Morávek,27,Czech Republic,72,FC Augsburg,€3.5M,€17K
T. Burlak,27,Russia,72,Rubin Kazan,€3M,€26K
Y. Banana,25,Cameroon,72,,€0,€0.00
I. Cissé,23,Belgium,72,Fulham,€3.6M,€23K
Alberto Martín,28,Spain,72,Granada CF,€2.8M,€8K
C. Riaño,28,Argentina,72,Necaxa,€3.2M,€12K
T. Kehrer,20,Germany,72,FC Schalke 04,€4.9M,€17K
A. Kali,26,Morocco,72,FC Utrecht,€3.7M,€9K
E. Alioski,25,FYR Macedonia,72,Leeds United,€3.8M,€25K
L. Fernández,26,Argentina,72,Independiente,€3.9M,€16K
C. Günter,24,Germany,72,SC Freiburg,€3.3M,€14K
Unai López,21,Spain,72,Rayo Vallecano,€5M,€13K
J. Cétout,29,France,72,AS Nancy Lorraine,€2.4M,€6K
Wanderson,22,Brazil,72,FC Krasnodar,€4.6M,€24K
F. Mendy,28,Guinea Bissau,72,Jeju United FC,€3.2M,€6K
M. Le Bihan,27,France,72,OGC Nice,€3.3M,€23K
T. Sekine,22,Japan,72,FC Ingolstadt 04,€4.4M,€14K
R. Sigurðsson,31,Iceland,72,Rubin Kazan,€2.1M,€27K
C. Gülselam,29,Turkey,72,Kardemir Karabükspor,€2.4M,€11K
J. de Wijs,22,Netherlands,72,Excelsior,€3.5M,€9K
B. Perlaza,25,Colombia,72,Independiente Santa Fe,€3.3M,€3K
M. Klich,27,Poland,72,Leeds United,€3.5M,€24K
A. Ignjovski,26,Serbia,72,SC Freiburg,€3.1M,€16K
F. Martínez,27,Ecuador,72,Club Atlas,€3.6M,€17K
L. Benito,25,Switzerland,72,BSC Young Boys,€3.3M,€14K
Y. Sylla,26,Mali,72,Panathinaikos FC,€3.3M,€1K
P. Bardsley,32,Scotland,72,Burnley,€1.7M,€32K
Jonas Damasto,33,Brazil,72,Grêmio Foot-Ball Porto Alegrense,€1.2M,€15K
N. Wells,27,Bermuda,72,Burnley,€3.6M,€38K
P. Da Silva,37,Paraguay,72,,€0,€0.00
M. Rodríguez,22,Chile,72,Cruz Azul,€4.4M,€20K
B. Oviedo,27,Costa Rica,72,Sunderland,€2.6M,€8K
W. Morelo,30,Colombia,72,Independiente Santa Fe,€3M,€4K
L. Pico,25,Colombia,72,CPD Junior Barranquilla,€3.6M,€3K
H. Winks,21,England,72,Tottenham Hotspur,€5.5M,€39K
P. McNair,22,Northern Ireland,72,Sunderland,€4.2M,€7K
D. Rodríguez,22,Colombia,72,Independiente Santa Fe,€4.9M,€4K
M. Fierro,33,Chile,72,Curicó Unido,€1.3M,€3K
R. Ibarra,26,Ecuador,72,Club América,€3.7M,€35K
L. Acosta,23,Argentina,72,D.C. United,€3.9M,€6K
A. Vršajevič,31,Bosnia Herzegovina,72,Osmanlıspor,€2M,€12K
O. Coulibaly,27,Mali,72,Panathinaikos FC,€2.6M,€1K
B. Kapustka,20,Poland,72,SC Freiburg,€5.5M,€32K
M. Lobaño,29,Chile,72,Deportes Iquique,€3.1M,€4K
H. Bazile,27,France,72,SM Caen,€3.3M,€17K
R. Utsiev,29,Russia,72,Terek Grozny,€2.4M,€22K
Joshuando Sá,33,Brazil,72,Associação Chapecoense de Futebol,€1.2M,€11K
M. Muñoz,37,Mexico,72,Puebla,€210K,€17K
O. Şişmanoğlu,27,Turkey,72,Göztepe,€3.3M,€14K
F. Giefer,27,Germany,72,FC Augsburg,€2.5M,€13K
A. Zaldívar,23,Mexico,72,Guadalajara,€4.2M,€33K
S. Šimić,22,Czech Republic,72,Crotone,€3.9M,€41K
A. Escavar,25,Chile,72,CD O'Higgins,€2.8M,€5K
R. Holding,21,England,72,Arsenal,€5.5M,€40K
D. Guzman,27,Costa Rica,72,Portland Timbers,€2.9M,€6K
L. Álvarez,32,Uruguay,72,Lobos de la BUAP,€1.8M,€5K
L. Kozák,28,Czech Republic,72,Bari,€3.2M,€5K
David Costas,22,Spain,72,FC Barcelona B,€3.5M,€13K
D. Avdijaj,20,Kosovo,72,FC Schalke 04,€4.6M,€19K
Jeff Meirson,25,Brazil,72,Fluminense Football Club,€2.7M,€22K
N. Sliti,24,Tunisia,72,Dijon FCO,€3.8M,€23K
B. Caderado,25,Chile,72,Colo-Colo,€2.7M,€5K
Amilton,27,Brazil,72,CD Aves,€3.3M,€10K
Edgar Badía,25,Spain,72,CF Reus Deportiu,€3.1M,€4K
K. Stewart,23,England,72,Hull City,€3.6M,€7K
F. Erpen,34,Argentina,72,Club Atlas,€950K,€14K
Sequeira,26,Portugal,72,SC Braga,€2.6M,€8K
I. Chochev,24,Bulgaria,72,Palermo,€4.2M,€3K
M. Gulde,26,Germany,72,SC Freiburg,€3.1M,€16K
B. Jeannot,25,France,72,Dijon FCO,€4.1M,€14K
J. Prior,21,France,72,Girondins de Bordeaux,€3.5M,€14K
Kim Jong Woo,23,Korea Republic,72,Suwon Samsung Bluewings,€4M,€6K
J. Hamad,26,Sweden,72,Hammarby IF,€3.7M,€5K
V. Wormgoor,28,Netherlands,72,SK Brann,€2.8M,€5K
Albizua,28,Spain,72,C.D. Leonesa S.A.D.,€2.8M,€7K
F. Hadergjonaj,22,Switzerland,72,Huddersfield Town,€3.7M,€13K
An Hyeon Beom,22,Korea Republic,72,Jeju United FC,€4.6M,€5K
D. Boyata,26,Belgium,72,Celtic,€3M,€32K
A. Martín Arias,24,Argentina,72,Gimnasia y Esgrima La Plata,€3M,€7K
B. Verbič,23,Slovenia,72,FC København,€4.3M,€13K
Pedraza,21,Spain,72,Deportivo Alavés,€4.3M,€16K
M. Mariga,30,Kenya,72,Real Oviedo,€2.3M,€7K
B. Stancu,30,Romania,72,Bursaspor,€2.9M,€13K
F. Boeckx,30,Belgium,72,RSC Anderlecht,€2M,€12K
K. Onisiwo,25,Austria,72,1. FSV Mainz 05,€3.9M,€18K
N. Calderón,28,Mexico,72,U.N.A.M.,€3.1M,€16K
M. Răduţ,27,Romania,72,Lech Poznań,€3.3M,€8K
Shin Hwa Yong,34,Korea Republic,72,Suwon Samsung Bluewings,€1.3M,€5K
R. Genevois,29,Haiti,72,SM Caen,€2.4M,€16K
B. Berisha,25,Kosovo,72,Terek Grozny,€3.9M,€22K
M. Duhamel,32,France,72,US Quevilly-Rouen,€2.5M,€6K
Barragán,30,Spain,72,Real Betis Balompié,€2.2M,€12K
A. King,28,Wales,72,Leicester City,€3.1M,€43K
A. Jali,27,South Africa,72,KV Oostende,€3.2M,€12K
K. Overmeire,31,Belgium,72,Sporting Lokeren,€2.1M,€10K
Rafael Furlan,22,Brazil,72,Grupo Desportivo de Chaves,€3.3M,€5K
P. Granoche,33,Uruguay,72,La Spezia,€2M,€4K
A. Elis,21,Honduras,72,Houston Dynamo,€4.6M,€30K
C. Rodríguez,28,Mexico,72,Club León,€2.5M,€7K
F. Jungwirth,28,Germany,72,San Jose Earthquakes,€2.8M,€6K
I. Bel Hassani,24,Morocco,72,AZ Alkmaar,€4.1M,€7K
L. Lacroix,25,Switzerland,72,AS Saint-Étienne,€3.5M,€20K
S. De Witte,29,Belgium,72,KV Mechelen,€2.4M,€11K
N. McGinn,29,Northern Ireland,72,GwangJu FC,€3M,€4K
Cotán,21,Spain,72,Real Valladolid,€4.2M,€5K
H. Toledo,21,Argentina,72,UD Las Palmas,€4.8M,€11K
N. Höfler,27,Germany,72,SC Freiburg,€2.6M,€16K
K. Acosta,21,United States,72,FC Dallas,€4M,€5K
Mauro Cildinho,33,Brazil,72,Sport Club do Recife,€1.2M,€11K
Kwoun Sun Tae,32,Korea Republic,72,Kashima Antlers,€1.8M,€7K
M. Leckie,26,Australia,72,Hertha BSC Berlin,€3.7M,€19K
S. Pawłowski,30,Poland,72,Termalica Bruk-Bet Nieciecza,€2.9M,€8K
Lee Chung Yong,28,Korea Republic,72,Crystal Palace,€3.1M,€36K
Paulo Mesqueira,25,Brazil,72,Associação Chapecoense de Futebol,€2.7M,€11K
N. Baker,26,England,72,Bristol City,€3.1M,€27K
Gonçalo Brandão,30,Portugal,72,Estoril Praia,€2.3M,€7K
D. Viera,26,Paraguay,72,Godoy Cruz,€3.3M,€9K
Silvosinho,33,Brazil,72,Avaí Futebol Clube,€1.2M,€11K
P. Tytoń,30,Poland,72,RC Deportivo de La Coruña,€2M,€12K
João Carvalho,20,Portugal,72,SL Benfica,€5.5M,€7K
M. Aguirregaray,28,Uruguay,72,Club Tijuana,€2.5M,€15K
Manu Barreiro,30,Spain,72,Gimnàstic de Tarragona,€3M,€9K
J. Sánchez Miño,27,Argentina,72,Independiente,€2.9M,€14K
M. Dupé,24,France,72,FC Nantes,€2.9M,€10K
N. Rimando,38,United States,72,Real Salt Lake,€210K,€3K
J. Arzura,24,Argentina,72,CA Osasuna,€3.6M,€12K
J. Cambados,33,Chile,72,San Luis de Quillota,€1.9M,€4K
M. Krasić,32,Serbia,72,Lechia Gdańsk,€2.4M,€7K
Ángel,30,Spain,72,Getafe CF,€3M,€17K
M. Samudio,30,Paraguay,72,Club América,€2.2M,€32K
M. Martin,29,France,72,Stade de Reims,€3M,€8K
M. Leovac,28,Croatia,72,PAOK Thessaloniki,€2.5M,€1K
Fernando Canesín,25,Brazil,72,KV Oostende,€3.8M,€11K
R. Baca,27,Mexico,72,Cruz Azul,€2.9M,€19K
Vigaray,22,Spain,72,Deportivo Alavés,€3.6M,€13K
O. Oyanadir,33,Chile,72,CD Huachipato,€1.3M,€6K
S. Souprayen,28,France,72,Hellas Verona,€2.5M,€18K
R. Delgado,27,Argentina,72,Defensa y Justicia,€2.9M,€9K
J. Wiland,36,Sweden,72,Hammarby IF,€425K,€2K
Pelé,25,Guinea Bissau,72,Rio Ave FC,€3.2M,€7K
Tiago Gomes,30,Portugal,72,CD Feirense,€2.2M,€7K
O. Zinchenko,20,Ukraine,72,Manchester City,€5M,€51K
M. Troest,30,Denmark,72,Novara,€2.3M,€4K
M. Siopis,23,Greece,72,,€0,€0.00
Arroyo,28,Spain,72,Albacete Balompié,€2.5M,€7K
A. Zotov,26,Russia,72,Dinamo Moscow,€3.1M,€21K
B. Bianchi,28,Argentina,72,Newell's Old Boys,€2.5M,€8K
M. Pisano,25,Argentina,72,Club Tijuana,€3.9M,€15K
E. Barco,18,Argentina,72,Independiente,€6.5M,€8K
E. Calaió,35,Italy,72,Parma,€1.4M,€4K
A. Mierzejewski,30,Poland,72,Sydney FC,€2.9M,€8K
M. Vrančić,28,Bosnia Herzegovina,72,Norwich City,€3.1M,€26K
J. Callsen-Bracker,32,Germany,72,FC Augsburg,€1.8M,€16K
Sanaldo Caiado,29,Brazil,72,Avaí Futebol Clube,€2.4M,€12K
Sin Jin Ho,28,Korea Republic,72,Sangju Sangmu FC,€3.1M,€7K
P. Retsos,18,Greece,72,Bayer 04 Leverkusen,€4.9M,€15K
G. Thorne,24,England,72,Derby County,€3.4M,€29K
A. Fiola,27,Hungary,72,,€0,€0.00
M. Vilotić,30,Serbia,72,Grasshopper Club Zürich,€2.3M,€13K
M. Rybus,27,Poland,72,Lokomotiv Moscow,€2.6M,€25K
C. Sapong,28,United States,72,Philadelphia Union,€3.2M,€7K
B. Mechele,24,Belgium,72,Club Brugge KV,€3.4M,€13K
Óscar Plano,26,Spain,72,Real Valladolid,€3.7M,€8K
A. Søderlund,29,Norway,72,AS Saint-Étienne,€3.1M,€26K
Hervías,24,Spain,72,Real Valladolid,€4.2M,€12K
S. Ingason,23,Iceland,72,FC Rostov,€3.5M,€18K
Pombaxinho,33,Brazil,72,Clube Atlético Mineiro,€1.3M,€21K
Nuno Padrenda,25,Brazil,72,Vitória,€2.8M,€9K
V. Bernárdez,35,Honduras,72,San Jose Earthquakes,€725K,€4K
Fábio,26,Brazil,72,Middlesbrough,€2.6M,€12K
J. Bryan,23,England,72,Bristol City,€3.7M,€23K
L. Ceppitelli,27,Italy,72,Cagliari,€3M,€30K
Ricardo Costa,36,Portugal,72,Tondela,€425K,€3K
N. Domingo,32,Argentina,72,Independiente,€1.8M,€14K
B. Hämäläinen,28,Denmark,72,SV Zulte-Waregem,€2.5M,€11K
L. Cavanda,26,Belgium,72,Standard de Liège,€3.1M,€32K
L. Cinterio,29,Chile,72,Deportes Iquique,€3M,€3K
V. Seldero,25,Chile,72,Universidad de Chile,€3.4M,€9K
P. Mouche,29,Argentina,72,Banfield,€3M,€12K
T. Hemed,30,Israel,72,Brighton & Hove Albion,€3M,€34K
J. Hyka,29,Albania,72,San Jose Earthquakes,€3M,€7K
A. Mangane,34,Senegal,72,RC Strasbourg,€950K,€15K
B. Bannan,27,Scotland,72,Sheffield Wednesday,€3.2M,€36K
I. Hajrović,25,Bosnia Herzegovina,72,SV Werder Bremen,€3.7M,€18K
L. Bacuna,25,Curacao,72,Reading,€3.8M,€23K
A. Wooten,27,United States,72,SV Sandhausen,€3.6M,€6K
A. Solari,25,Argentina,72,Racing Club de Avellaneda,€3.9M,€13K
J. Hernandero,25,Chile,72,CD Antofagasta,€3.4M,€4K
S. Allagui,31,Tunisia,72,FC St. Pauli,€2.7M,€14K
A. Tettey,31,Norway,72,Norwich City,€2.1M,€23K
C. Roldan,22,United States,72,Seattle Sounders FC,€3.7M,€5K
A. Barák,22,Czech Republic,72,Udinese,€5M,€16K
F. Lemoine,30,France,72,FC Lorient,€2.9M,€6K
G. Hanley,25,Scotland,72,Norwich City,€3.3M,€22K
Ailtio Coelho,29,Brazil,72,Fluminense Football Club,€2.4M,€24K
A. Tziolis,32,Greece,72,Al Fayha,€1.8M,€14K
B. Mensah,22,Ghana,72,Kasimpaşa SK,€4.6M,€27K
M. Higashiguchi,31,Japan,72,Gamba Osaka,€1.9M,€7K
Tiago Silva,24,Portugal,72,CD Feirense,€4.1M,€5K
M. Güven,29,Turkey,72,Osmanlıspor,€2.4M,€13K
L. Advíncula,27,Peru,72,Lobos de la BUAP,€2.9M,€35K
Denaldo Carneiro,29,Brazil,72,Associação Chapecoense de Futebol,€2.4M,€12K
A. Hansen,27,Norway,72,Rosenborg BK,€2.5M,€5K
I. Cofie,25,Ghana,72,Genoa,€3.8M,€20K
S. Fürstner,29,Germany,72,1. FC Union Berlin,€2.4M,€21K
L. Ariaudo,28,Italy,72,Frosinone,€2.5M,€4K
F. Sánchez,27,Argentina,72,Estudiantes de La Plata,€2.9M,€11K
C. Mestierra,33,Chile,72,CD Universidad de Concepción,€2M,€4K
J. Gallardo,22,Mexico,72,U.N.A.M.,€4.3M,€14K
Camilo,28,Brazil,72,Querétaro,€3.2M,€10K
W. Bou,23,Argentina,72,Boca Juniors,€4.4M,€15K
Luso,32,Spain,72,SD Huesca,€1.8M,€6K
N. Frey,33,France,72,Chievo Verona,€1.2M,€11K
L. Lollo,26,Italy,72,Empoli,€3.8M,€4K
Zapater,32,Spain,72,Real Zaragoza,€1.8M,€8K
Lee Ho Seung,27,Korea Republic,72,Jeonnam Dragons,€2.1M,€4K
I. Damonte,35,Argentina,71,Estudiantes de La Plata,€550K,€8K
A. Dioussé,19,Senegal,71,AS Saint-Étienne,€3.7M,€13K
Amaya,34,Spain,71,Rayo Vallecano,€725K,€8K
C. Grossmüller,34,Uruguay,71,Sandefjord Fotball,€1.2M,€4K
E. Echiéjilé,29,Nigeria,71,Medicana Sivasspor,€1.8M,€11K
C. Râpă,27,Romania,71,Pogoń Szczecin,€2.2M,€5K
S. March,22,England,71,Brighton & Hove Albion,€3.6M,€27K
J. Cabezas,26,Colombia,71,Houston Dynamo,€2.3M,€3K
Jony Reitosa,25,Brazil,71,Atlético Clube Goianiense,€2M,€9K
P. Niemeyer,33,Germany,71,SV Darmstadt 98,€950K,€16K
J. Lotiès,32,France,71,KAS Eupen,€1.4M,€9K
R. Gagliolo,27,Italy,71,Parma,€2M,€3K
Sergio Herrera,24,Spain,71,CA Osasuna,€2.4M,€5K
J. Filipović,24,Croatia,71,Sporting Lokeren,€2.7M,€9K
A. González,24,Venezuela,71,SD Huesca,€3M,€6K
Isma López,27,Spain,71,Real Sporting de Gijón,€2.2M,€8K
F. Torijano,28,Colombia,71,Deportes Tolima,€2.2M,€2K
L. Chambers,31,England,71,Ipswich Town,€1.6M,€14K
Barbosaldinho,29,Brazil,71,São Paulo Futebol Clube,€1.8M,€19K
R. Pierre-Gabriel,19,France,71,AS Saint-Étienne,€3.2M,€11K
A. Caracciolo,27,Italy,71,Hellas Verona,€2.3M,€17K
Han Chan Hee,20,Korea Republic,71,Jeonnam Dragons,€4.2M,€5K
R. van der Vaart,34,Netherlands,71,FC Midtjylland,€1.2M,€16K
K. Boutaïb,30,Morocco,71,Evkur Yeni Malatyaspor,€2.3M,€12K
Lucas Evangelista,22,Brazil,71,Estoril Praia,€3.3M,€16K
J. Medina,33,Mexico,71,Lobos de la BUAP,€1.4M,€16K
U. Hünemeier,31,Germany,71,Brighton & Hove Albion,€1.6M,€29K
G. Jung,22,Germany,71,Hamburger SV,€3.2M,€18K
R. Koolwijk,31,Netherlands,71,Excelsior,€1.6M,€8K
A. Sobiech,27,Poland,71,SV Darmstadt 98,€2.8M,€19K
Jordi Calavera,21,Spain,71,Real Sporting de Gijón,€3M,€10K
Molinero,31,Spain,71,Getafe CF,€1.6M,€15K
Lucas Torró,22,Spain,71,CA Osasuna,€3.6M,€6K
O. Deschacht,36,Belgium,71,RSC Anderlecht,€325K,€10K
Danilo,27,Belgium,71,Antalyaspor,€2.5M,€13K
S. Lundevall,28,Sweden,71,IF Elfsborg,€2.4M,€5K
Natinho Mestres,25,Brazil,71,Coritiba Foot Ball Club,€2.1M,€14K
